,Tanggal,Curah_Hujan,Prediksi_Curah_Hujan
205,2022-12-25,0.8,4.4251833
206,2022-12-26,0.0,10.072157
207,2022-12-27,2.7,4.409089
208,2022-12-28,0.0,7.7905517
209,2022-12-29,8.0,8.025196
210,2022-12-31,10.8,6.7714953
211,2023-01-01,25.2,5.5209675
212,2023-01-02,0.0,4.3881907
213,2023-01-06,0.0,6.592437
214,2023-01-08,9.5,13.244146
215,2023-01-09,21.3,4.3881907
216,2023-01-10,8.5,13.165807
217,2023-01-11,1.0,4.3881917
218,2023-01-12,9.1,9.95961
219,2023-01-13,1.0,10.030968
220,2023-01-15,0.0,4.3881907
221,2023-01-16,0.0,7.7518077
222,2023-01-17,10.9,5.038104
223,2023-01-18,1.3,4.3881907
224,2023-01-19,6.5,4.594665
225,2023-01-20,0.3,8.5467615
226,2023-01-21,0.0,6.9157834
227,2023-01-22,16.6,8.636781
228,2023-01-23,25.5,8.372488
229,2023-01-24,0.0,4.3881907
230,2023-01-25,2.0,5.501761
231,2023-01-26,23.0,13.247914
232,2023-01-27,0.9,6.063346
233,2023-01-28,6.1,9.671076
234,2023-01-29,11.5,9.599487
235,2023-01-30,3.8,4.3979473
236,2023-02-01,13.2,4.3881907
237,2023-02-02,1.0,12.20648
238,2023-02-03,4.9,5.3255415
239,2023-02-05,4.0,4.7580996
240,2023-02-06,0.0,4.445676
241,2023-02-07,7.0,4.3881907
242,2023-02-08,4.5,8.951807
243,2023-02-09,3.0,10.927038
244,2023-02-10,33.6,10.722514
245,2023-02-12,1.7,6.334402
246,2023-02-13,3.6,10.470045
247,2023-02-14,14.7,11.089017
248,2023-02-15,17.8,6.7521825
249,2023-02-16,23.8,4.444331
250,2023-02-17,19.8,4.767317
251,2023-02-18,1.4,8.043982
252,2023-02-19,65.8,9.454469
253,2023-02-20,15.0,8.929999
254,2023-02-21,9.5,9.894508
255,2023-02-22,56.2,5.374659
256,2023-02-24,3.8,5.517839
257,2023-02-25,0.0,9.054173
258,2023-02-26,3.0,4.3881907
259,2023-02-27,0.1,4.391369
260,2023-02-28,6.8,7.142251
261,2023-03-01,7.6,11.0660715
262,2023-03-02,2.0,5.3774676
263,2023-03-03,13.7,9.253751
264,2023-03-04,0.0,13.453887
265,2023-03-05,0.0,8.634151
266,2023-03-06,45.2,6.1902814
267,2023-03-07,0.2,11.921577
268,2023-03-08,0.0,6.312609
269,2023-03-09,10.0,15.662241
270,2023-03-10,0.0,9.28559
271,2023-03-12,0.0,4.56716
272,2023-03-13,0.0,9.453201
273,2023-03-14,0.0,9.367713
274,2023-03-15,0.2,4.485108
275,2023-03-16,3.0,5.8580503
276,2023-03-17,0.1,7.714296
277,2023-03-18,0.0,4.3881907
278,2023-03-20,5.5,8.94874
279,2023-03-21,14.3,12.759274
280,2023-03-22,2.0,4.5110555
281,2023-03-23,0.0,4.4199295
282,2023-03-24,0.0,4.628301
283,2023-03-25,4.0,4.414383
284,2023-03-26,0.0,6.13399
285,2023-03-27,0.0,10.818462
286,2023-03-28,0.0,4.3929605
287,2023-03-30,25.2,4.388484
288,2023-03-31,7.4,7.9392858
289,2023-04-01,12.4,12.622709
290,2023-04-02,0.1,9.329729
291,2023-04-03,6.9,12.052311
292,2023-04-05,0.0,6.784377
293,2023-04-06,0.0,11.23399
294,2023-04-07,30.0,5.3666143
295,2023-04-08,0.0,4.4171405
296,2023-04-09,33.5,14.027812
297,2023-04-10,11.1,9.893411
298,2023-04-11,3.0,4.8581443
299,2023-04-12,5.4,4.543202
300,2023-04-13,15.5,4.3881907
301,2023-04-14,0.0,8.889273
302,2023-04-15,1.4,4.3920875
303,2023-04-16,60.0,4.3881907
304,2023-04-17,0.0,12.647837
305,2023-04-18,5.2,4.3881907
306,2023-04-19,0.0,6.2171373
307,2023-04-20,13.1,7.9279165
308,2023-04-21,0.0,5.172535
309,2023-04-22,0.0,8.525895
310,2023-04-23,0.0,4.3881907
311,2023-04-24,0.0,7.7397456
312,2023-04-25,0.0,14.236774
313,2023-04-26,3.5,10.541893
314,2023-04-27,0.3,5.664735
315,2023-04-29,0.6,4.3881907
316,2023-04-30,0.8,6.1581697
317,2023-05-01,0.0,6.370393
318,2023-05-02,0.0,7.6388526
319,2023-05-06,7.7,4.877955
320,2023-05-07,0.0,5.9175525
321,2023-05-08,0.0,4.3999586
322,2023-05-09,0.0,8.176253
323,2023-05-11,2.3,10.084036
324,2023-05-13,0.0,6.589673
325,2023-05-15,0.0,4.3942957
326,2023-05-16,0.0,6.0293965
327,2023-05-17,0.0,5.661294
328,2023-05-18,0.0,10.286258
329,2023-05-19,0.0,7.3499675
330,2023-05-21,0.0,4.3881907
331,2023-05-23,0.0,12.985944
332,2023-05-24,0.0,8.161078
333,2023-05-25,0.0,12.336663
334,2023-05-26,0.0,6.226769
335,2023-05-27,0.0,8.801406
336,2023-05-29,0.0,9.332357
337,2023-05-31,0.0,4.3881907
338,2023-06-01,0.0,6.670086
339,2023-06-02,0.0,4.6869597
340,2023-06-04,0.0,7.292657
341,2023-06-05,0.0,8.449946
342,2023-06-06,0.0,12.808268
343,2023-06-07,1.9,5.3599477
344,2023-06-08,0.0,4.440301
345,2023-06-10,0.0,4.9406166
346,2023-06-11,0.4,6.2828994
347,2023-06-12,0.0,4.4022183
348,2023-06-13,0.0,13.308228
349,2023-06-15,0.0,4.3990917
350,2023-06-16,0.0,8.171847
351,2023-06-17,0.0,13.678866
352,2023-06-18,0.0,9.2134495
353,2023-06-19,0.0,9.522529
354,2023-06-20,0.0,4.3881907
355,2023-06-21,0.0,7.8749943
356,2023-06-22,0.0,5.77315
357,2023-06-24,0.0,10.751664
358,2023-06-25,0.0,7.2922997
359,2023-06-26,13.0,5.638372
360,2023-06-27,0.0,4.575297
361,2023-06-28,0.0,12.6839
362,2023-06-29,0.0,11.958047
363,2023-06-30,0.0,4.686683
364,2023-07-02,0.0,6.368644
365,2023-07-03,0.0,10.189398
366,2023-07-04,0.0,4.634614
367,2023-07-05,12.5,7.5548916
368,2023-07-06,0.0,11.404449
369,2023-07-08,34.5,8.063917
370,2023-07-09,3.8,5.5877633
371,2023-07-10,0.0,4.6998005
372,2023-07-11,0.0,13.684198
373,2023-07-12,0.0,4.3881907
374,2023-07-13,0.0,4.3881907
375,2023-07-14,0.0,5.1990423
376,2023-07-15,0.0,5.318714
377,2023-07-16,0.0,10.5218115
378,2023-07-18,0.0,9.085336
379,2023-07-19,0.0,7.7259407
380,2023-07-20,0.0,6.505994
381,2023-07-21,0.0,4.7156534
382,2023-07-22,0.0,5.528384
383,2023-07-25,0.0,9.111039
384,2023-07-26,0.0,4.44489
385,2023-07-27,0.0,4.389996
386,2023-07-28,0.0,11.021275
387,2023-07-29,0.0,7.9282417
388,2023-07-30,0.0,8.6770735
389,2023-07-31,0.0,8.179401
390,2023-08-01,0.0,11.1841545
391,2023-08-03,0.0,9.139024
392,2023-08-04,0.0,4.426393
393,2023-08-05,0.0,5.8425474
394,2023-08-07,0.0,5.545374
395,2023-08-09,0.0,5.715872
396,2023-08-12,0.0,4.435229
397,2023-08-13,0.0,4.408585
398,2023-08-14,0.0,9.356237
399,2023-08-15,0.0,5.516474
400,2023-08-16,0.0,8.435138
401,2023-08-17,0.0,16.365246
402,2023-08-19,0.0,9.552975
403,2023-08-21,0.0,10.065943
404,2023-08-22,0.0,5.919196
405,2023-08-23,0.0,4.9412107
406,2023-08-24,0.0,4.4967537
407,2023-08-25,0.0,9.815147
408,2023-08-27,0.0,9.464217
409,2023-08-28,0.0,10.065924
410,2023-08-29,0.0,13.178892
411,2023-08-30,0.0,7.39068
412,2023-08-31,0.0,9.62527
