,Tanggal,RR
292,2019-10-20,0.0
293,2019-10-21,0.0
294,2019-10-22,0.0
295,2019-10-23,0.0
296,2019-10-24,0.0
297,2019-10-25,0.0
298,2019-10-26,0.0
299,2019-10-27,0.0
300,2019-10-28,0.0
301,2019-10-29,0.0
302,2019-10-30,0.0
303,2019-10-31,5.923071528751754
304,2019-11-01,0.0
305,2019-11-02,0.0
306,2019-11-03,5.923071528751754
307,2019-11-04,0.0
308,2019-11-05,0.0
309,2019-11-06,0.0
310,2019-11-07,0.0
311,2019-11-08,5.0
312,2019-11-09,0.0
313,2019-11-10,0.0
314,2019-11-11,0.0
315,2019-11-12,0.0
316,2019-11-13,0.0
317,2019-11-14,0.5
318,2019-11-15,0.0
319,2019-11-16,0.0
320,2019-11-17,0.0
321,2019-11-18,0.0
322,2019-11-19,0.0
323,2019-11-20,0.0
324,2019-11-21,0.0
325,2019-11-22,0.0
326,2019-11-23,0.0
327,2019-11-24,0.0
328,2019-11-25,0.0
329,2019-11-26,0.0
330,2019-11-27,19.6
331,2019-11-28,0.0
332,2019-11-29,0.0
333,2019-11-30,0.0
334,2019-12-01,0.0
335,2019-12-02,0.0
336,2019-12-03,0.0
337,2019-12-04,14.5
338,2019-12-05,26.0
339,2019-12-06,0.3
340,2019-12-07,0.5
341,2019-12-08,0.0
342,2019-12-09,0.0
343,2019-12-10,13.3
344,2019-12-11,0.0
345,2019-12-12,0.0
346,2019-12-13,0.0
347,2019-12-14,0.0
348,2019-12-15,0.0
349,2019-12-16,0.0
350,2019-12-17,5.923071528751754
351,2019-12-18,0.5
352,2019-12-19,5.923071528751754
353,2019-12-20,0.0
354,2019-12-21,11.6
355,2019-12-22,2.9
356,2019-12-23,0.0
357,2019-12-24,4.1
358,2019-12-25,0.0
359,2019-12-26,48.5
360,2019-12-27,5.923071528751754
361,2019-12-28,11.0
362,2019-12-29,0.0
363,2019-12-30,5.923071528751754
364,2019-12-31,0.0
365,2020-01-01,5.923071528751754
366,2020-01-02,1.3
367,2020-01-03,0.0
368,2020-01-04,1.8
369,2020-01-05,1.3
370,2020-01-06,16.4
371,2020-01-07,39.2
372,2020-01-08,0.5
373,2020-01-09,2.0
374,2020-01-10,52.8
375,2020-01-11,3.2
376,2020-01-12,6.0
377,2020-01-13,0.0
378,2020-01-14,5.923071528751754
379,2020-01-15,0.0
380,2020-01-16,1.0
381,2020-01-17,5.923071528751754
382,2020-01-18,0.0
383,2020-01-19,18.3
384,2020-01-20,0.0
385,2020-01-21,2.5
386,2020-01-22,35.3
387,2020-01-23,2.5
388,2020-01-24,1.4
389,2020-01-25,11.0
390,2020-01-26,0.0
391,2020-01-27,5.923071528751754
392,2020-01-28,9.8
393,2020-01-29,0.0
394,2020-01-30,5.923071528751754
395,2020-01-31,2.8
396,2020-02-01,14.5
397,2020-02-02,29.8
398,2020-02-03,0.2
399,2020-02-04,5.923071528751754
400,2020-02-05,0.0
401,2020-02-06,5.923071528751754
402,2020-02-07,4.2
403,2020-02-08,32.8
404,2020-02-09,0.0
405,2020-02-10,5.923071528751754
406,2020-02-11,30.0
407,2020-02-12,3.8
408,2020-02-13,9.8
409,2020-02-14,5.923071528751754
410,2020-02-15,0.0
411,2020-02-16,0.0
412,2020-02-17,11.6
413,2020-02-18,45.7
414,2020-02-19,0.4
415,2020-02-20,3.2
416,2020-02-21,0.0
417,2020-02-22,20.7
418,2020-02-23,56.6
419,2020-02-24,7.8
420,2020-02-25,0.0
421,2020-02-26,42.0
422,2020-02-27,40.5
423,2020-02-28,20.4
424,2020-02-29,101.8
425,2020-03-01,0.0
426,2020-03-02,8.0
427,2020-03-03,0.7
428,2020-03-04,1.4
429,2020-03-05,45.0
430,2020-03-06,7.4
431,2020-03-07,32.3
432,2020-03-08,47.4
433,2020-03-09,43.3
434,2020-03-10,47.4
435,2020-03-11,0.0
436,2020-03-12,0.0
437,2020-03-13,0.0
438,2020-03-14,39.1
439,2020-03-15,6.0
440,2020-03-16,15.2
441,2020-03-17,16.0
442,2020-03-18,4.4
443,2020-03-19,6.5
444,2020-03-20,1.0
445,2020-03-21,0.0
446,2020-03-22,5.923071528751754
447,2020-03-23,2.8
448,2020-03-24,15.4
449,2020-03-25,0.0
450,2020-03-26,5.5
451,2020-03-27,0.0
452,2020-03-28,0.0
453,2020-03-29,5.923071528751754
454,2020-03-30,3.7
455,2020-03-31,5.923071528751754
456,2020-04-01,0.5
457,2020-04-02,0.0
458,2020-04-03,0.0
459,2020-04-04,5.923071528751754
460,2020-04-05,80.5
461,2020-04-06,5.923071528751754
462,2020-04-07,10.7
463,2020-04-08,13.4
464,2020-04-09,0.2
465,2020-04-10,18.2
466,2020-04-11,23.0
