,RR
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
986,9.0
987,9.5
988,61.5
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,1.0
995,0.0
996,6.0
997,0.0
998,1.5
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,15.8
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1032,0.0
1033,0.0
1036,1.5
1037,0.0
1038,0.0
1039,2.2
1042,0.6
1043,1.2
1044,1.0
1045,7.0
1046,20.4
1048,9.1
1049,19.0
1050,22.3
1051,5.1
1052,0.0
1053,0.0
1054,1.3
1055,6.5
1056,0.0
1058,5.9
1059,0.0
1060,0.0
1061,0.0
1062,0.2
1063,21.7
1064,22.5
1065,16.0
1066,1.4
1067,77.2
1068,2.3
1069,3.6
1070,1.3
1071,6.2
1072,0.2
1073,22.0
1074,21.4
1075,0.0
1076,15.4
1077,45.5
1078,32.5
1079,11.6
1080,5.8
1082,0.0
1084,7.6
1085,0.9
1086,18.4
1087,0.0
1090,30.5
1091,17.3
1092,35.9
1093,9.8
1094,0.0
1095,85.0
1096,18.0
1097,0.8
1098,10.0
1099,1.0
1101,0.9
1102,3.0
1103,34.0
1106,32.0
1107,8.8
1108,6.3
1111,0.0
1113,7.5
1114,11.8
1115,31.6
1116,12.2
1118,4.6
1120,0.0
1121,3.0
1122,0.0
1123,0.5
1124,25.9
1125,3.9
1126,2.1
1127,3.0
1128,4.4
1130,1.0
1131,25.3
1132,0.0
1133,1.8
1134,17.2
1135,2.4
1136,27.9
1138,1.1
1139,2.3
1140,4.4
1142,0.0
1143,10.0
1144,0.0
1145,12.6
1146,0.2
1147,1.3
1148,30.1
1149,1.5
1150,49.7
1151,31.5
1152,0.9
1153,8.0
1154,8.0
1155,20.8
1156,1.5
1157,1.5
1159,24.5
1160,48.0
1161,39.8
1162,4.0
1163,3.9
1164,0.0
1166,14.0
1167,1.7
1168,5.7
1169,0.0
1170,19.4
1174,18.6
1175,5.1
1176,17.2
1177,1.0
1178,3.9
1179,3.8
1180,14.0
1181,0.4
1182,9.8
1183,0.0
1184,12.4
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,24.7
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,14.0
1207,1.5
1208,0.0
1209,3.3
